"Zaman damgası","Bölümünüz nedir?","Kaçıncı sınıftasınız?","İlk işinizde kaç TL maaş almayı bekliyorsunuz?"
"2018/02/23 9:16:34 ÖS GMT+1","Yönetim Bilişim Sistemleri","2","4000"
"2018/02/23 9:17:22 ÖS GMT+1","Fizik","2","2400"
"2018/02/23 9:19:03 ÖS GMT+1","İşletme","3","3500"
"2018/02/23 9:22:22 ÖS GMT+1","İktisat","4","3150"
"2018/02/23 9:22:33 ÖS GMT+1","İşletme","4","5000"
"2018/02/23 9:24:45 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","4","2700"
"2018/02/23 9:25:27 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 9:26:07 ÖS GMT+1","Psikoloji","1","2500"
"2018/02/23 9:29:25 ÖS GMT+1","Bilgisayar Mühendisliği","4","5000"
"2018/02/23 9:29:52 ÖS GMT+1","İşletme","3","3000"
"2018/02/23 9:32:09 ÖS GMT+1","Psikoloji","2","5000"
"2018/02/23 9:34:36 ÖS GMT+1","İnşaat Mühendisliği","4","3000"
"2018/02/23 9:36:00 ÖS GMT+1","İktisat","3","3000"
"2018/02/23 9:39:54 ÖS GMT+1","İşletme","4","5000"
"2018/02/23 9:45:01 ÖS GMT+1","Türk Dili ve Edebiyatı","1","3500"
"2018/02/23 9:46:08 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","3000"
"2018/02/23 9:47:16 ÖS GMT+1","İşletme","3","3200"
"2018/02/23 9:50:08 ÖS GMT+1","Endüstri Mühendisliği","4","8000"
"2018/02/23 9:53:19 ÖS GMT+1","İktisat","2","3500"
"2018/02/23 9:55:00 ÖS GMT+1","Tarih","4","4000"
"2018/02/23 9:55:18 ÖS GMT+1","Makine Mühendisliği","3","49999"
"2018/02/23 9:57:10 ÖS GMT+1","Makine Mühendisliği","4","5000"
"2018/02/23 9:57:30 ÖS GMT+1","Endüstri Mühendisliği","1","3200"
"2018/02/23 9:57:43 ÖS GMT+1","İşletme","4","3500"
"2018/02/23 10:03:54 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 10:05:34 ÖS GMT+1","İşletme","2","49000"
"2018/02/23 10:11:03 ÖS GMT+1","Yönetim Bilişim Sistemleri","3","4000"
"2018/02/23 10:12:36 ÖS GMT+1","İngilizce Öğretmenliği","3","2800"
"2018/02/23 10:14:23 ÖS GMT+1","İktisat","4","4500"
"2018/02/23 10:18:45 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 10:21:49 ÖS GMT+1","İşletme","3","3500"
"2018/02/23 10:22:24 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","2800"
"2018/02/23 10:24:24 ÖS GMT+1","İnşaat Mühendisliği","1","3000"
"2018/02/23 10:24:47 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","4","3500"
"2018/02/23 10:25:00 ÖS GMT+1","Çeviribilim","4","3500"
"2018/02/23 10:27:30 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","1","4000"
"2018/02/23 10:27:57 ÖS GMT+1","İşletme","3","8000"
"2018/02/23 10:34:08 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","2","6000"
"2018/02/23 10:37:15 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","2","5000"
"2018/02/23 10:37:30 ÖS GMT+1","Endüstri Mühendisliği","1","4500"
"2018/02/23 10:42:45 ÖS GMT+1","İngilizce Öğretmenliği","4","3000"
"2018/02/23 10:43:47 ÖS GMT+1","Yönetim Bilişim Sistemleri","4","3000"
